DSCPRD.IN                                                        DATE:   3/07/16
                          DISCOUNT SCHEDULES AND PRICES          PAGE:         1
                              FOR RETAIL PRODUCTS                               


                                          PKG               DISCOUNT     CURRENT
PRD #            DESCRIPTION              SIZE      UOM    SCHEDULE #     PRICE 
=====  ===============================    =====     ===    ==========    =======
 670   MOSQUITO MEETING                             PER         0         10.000
 680   MOSQUITO SPRAYER CALIBRATION                 SPR         0         35.000
 690   MOSQUITO SPRAYER DROPLET TEST                SPR         0         75.000
 695   MOSQUITO SERVICE CALL                        PER         0         75.000
1005   9/14 42PHI ZN/MN                   250GAL    GAL         0         27.300
1005   9/14 42PHI ZN/MN                   250GAL    GAL         0         32.640
1007   9/13 4-SPEED HERBICIDE             2X2.5     GAL         0         54.000
1021   9/14 ABBA 0.15EC                   4X1       GAL         0         87.500
1024   AIM EW                             6X1       QT          0        161.980
1129   9/14 ATHENA EW                     4X135     OZ          0          1.550
1139   CB ATRAZINE 4L - NON RTN           110GAL    GAL         0         10.420
1140   9/15 CB ATRAZINE 4L - RTN          110GAL    GAL         0         13.600
1140   9/15 CB ATRAZINE 4L - RTN          110GAL    GAL         0         11.120
1140   9/15 CB ATRAZINE 4L - RTN          110GAL    GAL         0         11.120
1145   CB ATRAZINE 4L                     MBULK     GAL         0         11.190
1152   ABAMECTIN 0.15EC                   4X1       GAL         0         77.500
1214   ABUNDIT EXTRA                      250GAL    GAL         0         12.150
1223   9/14 ADONIS 2F INSECTICIDE         4X1       GAL         0         88.500
1234   ACELEPRYN (4X64 OZ.) AGENCY        4X1       BTL         0        927.500
1235   9/13 ACELEPRYN SC (4X64 FL.OZ.)    4X1       BTL         0        880.000
1255   ACCENT                             8X10      OZ          0         36.440
1255   ACCENT                             8X10      OZ          0         34.700
1257   ACCENT GOLD (3X5X11.6 OZ)          3X58      OZ          0          5.200
1257   ACCENT GOLD (3X5X11.6 OZ)          3X58      OZ          0          7.270
1261   AGROTAIN PLUS EZ FLO               45LB      LB          0          3.480
1264   9/12 AGRI-FOS SYSTEMIC FUNGICID    2X2.5     GAL         0         32.200
1268   AGROTAIN PLUS                      30LB      LB          0          3.290
1268   AGROTAIN PLUS                      30LB      LB          0          3.360
1270   AGROTAIN                           2X2.5     GAL         0         40.000
1270   AGROTAIN                           2X2.5     GAL         0         50.920
1270   AGROTAIN                           2X2.5     GAL         0         45.820
1282   AGP 5-5-25 W/.25% DIMENSION        50LB      BAG         0         33.950
1283   9/15 AGP 14-0-28 W/.13%TURF ENH    50LB      BAG         0         56.800
1292   AGP CONTEC DG 33-0-0 W/90% M.U.    50LB      BAG         0         46.400
1304   AGSORB SPECIAL FG/TERRA-GR         50LB      LB          0           .200
1304   AGSORB SPECIAL FG/TERRA-GR         50LB      LB          0           .260
1341   ALLY EXTRA                         12X20     OZ          0          8.430
1341   ALLY EXTRA                         12X20     OZ          0          6.500
1346   9/14 ALLECTUS GC SC (RUP)          4X1       GAL         0        140.600
1347   9/13 ALLECTUS SC                   4X1       GAL         0        140.600
1353   9/15 ALOFT GC SC (RUP)(4X64 FL.    4X1       BTL         0        496.000
1437   AMMONIUM SULFATE (N-RICH)21-0-0    50LB      BAG         0         15.130
1440   9/14 AMMONIUM SULFATE GRAN 20-0    50LB      BAG         0         16.850
1445   9/13 AMMOS 22-0-0 W/40% S.N. &     2X2.5     GAL         0          9.450
1493   APPEAR FUNGICIDE                   2X2       GAL         0        124.000
1516   9/15 AQUATHOL (SUPER K) GRANULA    25LB      LB          0         17.400
1535   9/12 ARSENAL POWERLINE HERBICID    4X1       QT          0         35.300
1543   AUTUMN 10 WG                       8X12      OZ          0         18.900
1545   9/14 AXIS SOIL AMENDMENT (FINE)    25LB      LB          0           .440
1546   AUTHORITY FIRST DF                 4X5       LB          0         77.270
DSCPRD.IN                                                        DATE:   3/07/16
                          DISCOUNT SCHEDULES AND PRICES          PAGE:         2
                              FOR RETAIL PRODUCTS                               


                                          PKG               DISCOUNT     CURRENT
PRD #            DESCRIPTION              SIZE      UOM    SCHEDULE #     PRICE 
